speaker,Total Lines
Michael,12137
Dwight,7529
Jim,6814
Pam,5375
Andy,3968
Kevin,1708
Angela,1695
Oscar,1490
Erin,1469
Ryan,1379
Darryl,1243
Phyllis,1071
Kelly,956
Jan,949
Toby,936
Stanley,761
Meredith,645
Holly,608
Nellie,529
Creed,456
Gabe,436
Robert,430
David,382
Karen,341
Clark,260
Roy,255
Charles,221
Pete,213
Jo,194
Deangelo,171
David Wallace,108
Katy,98
Carol,90
Donna,81
DeAngelo,79
Todd Packer,74
Val,73
Danny,68
Josh,64
All,62
Everyone,59
Jessica,56
Nate,55
Packer,55
Brian,53
Mr. Brown,52
Cathy,50
Man,50
Helene,49
Susan,48
Hank,45
Todd,40
Group,40
Daryl,37
Captain Jack,35
Eric,35
Trevor,31
Nick,31
Mose,31
Grotti,30
Guy,29
Tom,29
Isabel,29
Bob,29
Jake,28
Senator Lipton,28
Host,28
Nurse,27
Improv Teacher,26
Lester,26
Harry,25
Mark,25
Tony,24
Ben Franklin,24
Hannah,23
Woman,23
Melissa,23
Bert,23
AJ,23
Bar Manager,22
Irene,22
Casey,22
Pizza guy,22
Jada,22
Vikram,21
Esther,21
Walter,21
Alan,20
Waiter,20
Lonny,20
Elizabeth,20
Abby,19
Christian,19
Receptionist,19
Bob Vance,19
Crowd,19
Alice,19
Fannie,19
Prince Grandfather,19
Photographer,18
Brad,18
Diane Kelly,18
Luke,18
Martin,18
Brandon,18
Pam's Mom,18
Rachel,18
Ryan Howard,17
Ex-client,17
Kenny,17
Mary-Beth,17
Blood Girl,17
Billy Merchant,17
Shirley,17
Lynn,16
Senator,16
Robert California,15
Zeke,15
Everybody,14
HCT,14
Sweeney Todd,14
Manager,14
Carroll,14
Girl,14
Barbara,14
Jerry,14
Waitress,14
Justin,14
Hide,14
Both,13
Second Cindy,13
Hotel Employee,13
Julia,13
Mema,13
Director,13
Jordan,13
Lawyer,13
Rolf,12
Julie,12
Jeb,12
Cece,12
Troy,12
Sadiq (IT guy),12
Ad guy 1,12
Boat Guy,12
Bartender,12
Craig,12
Sherri,11
Pam's mom,11
Robert Dunder,11
Lauren,11
Julius,11
Penny,11
Sensei,11
Suit Store Father,11
Customer,11
Broccoli Rob,11
Financial Guy,11
Lefevre,11
Mr. Ramish,11
Ed,11
Shane,11
Michael and Dwight,11
Salesman,11
Alex,10
Carla,10
Athlead Employee,10
Merv,10
Graphics guy,10
Man on Phone,10
Phil,10
Wolf,10
Sasha,10
Front Desk Clerk,10
Megan,10
Maurie,10
HCT Member #3,10
Diane,10
Nana,10
Business partner,10
Computron,10
Isaac,10
Kathy,10
Police Officer 1,10
Magician,10
Suit Store Son,10
Devon,9
Denise,9
Master,9
Cameron,9
Doctor,9
Dana,9
Chad Lite,9
Stephanie,9
Micheal,9
Fred,9
Rolph,9
Isabelle,9
Mikela,9
Ira,9
Ravi,9
Lady,9
Matt,9
Hospital employee,8
Pastor,8
Tattoo Artist,8
Bill,8
Margaret,8
Shelby,8
Kendall,8
Speaker,8
Sheriff,8
Secretary,8
A.J.,8
Frank,8
Blood Drive Worker,8
Rose,8
Hunter,8
Mr. Schofield,7
Video Michael,7
Check-in guy,7
Edward R. Meow,7
Kid,7
Phone Salesman,7
Harvey,7
Uncle Al,7
Brenda,7
Linda,7
Madge,7
Sam,6
Teddy,6
Fake Jim,6
Student 2,6
Phone,6
Lily,6
Walter Jr,6
Vet,6
Ad guy 2,6
Attendant,6
Gil,6
Worker,6
Paris,6
Song,6
Producer,6
DunMiff/sys,6
Glenn,6
Dwight and Michael,6
Larry Myers,6
Kids,6
Police Officer 2,6
Client,6
Rep,6
Keena Gifford,6
Evan,6
Jamie,6
Vance Refrigeration Worker #1,6
Blonde,6
Professor,5
Marie,5
Friend,5
Wendy's phone operator,5
Joan,5
Michel,5
Party Photographer,5
Girl in Club,5
Phil Maguire,5
Girl in 2nd club,5
Melvina,5
Tall Girl #1,5
Kelly's Mom,5
Justine,5
Passer-by,5
Dealer,5
Students,5
O'Keefe,5
Mr. Ruger,5
Laurie,5
Steve,5
Hank the Security Guard,5
Andy and Dwight,5
Intern,5
Doug,5
Reporter,5
Mr. Halpert,5
Mrs. Davis,5
Carla Fern,5
Delivery man,5
Reid,5
Announcer,5
Stripper,5
Helen,5
Hot Dog Guy,5
"Andy, Creed, Kevin, Kelly",5
Holly's Dad,5
Prince Granddaughter,4
Wally Amos,4
Realtor,4
Blogger,4
Beth,4
Hayworth's waiter,4
Mexican Man,4
Old Man,4
Mother,4
Son,4
Teacher,4
Colin,4
Ernesto,4
Hotel Manager,4
Old Lady,4
VRG 1,4
Professor Powell,4
Audience,4
Video,4
Holly's Mom,4
Old Woman,4
Walt Jr.,4
Limo Driver,4
Vance Refrigeration Guy,4
Phillip,4
Santigold,4
Mark McGrath,4
Jerome Bettis,4
Billy,4
School Official,4
Bill Hader,4
Barbara Allen,4
Aaron Rodgers,4
Jim and Pam,4
Jakey,4
GPS,4
W.B. Jones,4
Micahel,4
Mr. Figaro,4
Ben,4
Michael & Holly,4
Rolando,4
Business Student #1,4
Andy and Jim,4
Buyer,4
Pam [on phone],4
Priest,4
Someone,4
Businessman #3,3
Mrs. Wallace,3
DwightKSchrute,3
Aunt Shirley,3
Malcolm,3
Henry,3
Male church member,3
Andy & Michael,3
Delivery Woman,3
Stonewall Host,3
Businessman #2,3
Oscar's friend,3
Michael & Dwight,3
Bus driver,3
Man from Buffalo,3
German Minister,3
VRG 2,3
Co-Worker 3,3
Little Girl,3
Pediatrician,3
Amy,3
Business Student #2,3
Server,3
Pretzel guy,3
Calvin,3
Cookie Monster,3
Kelly's Father,3
Woman in line,3
Vance Refrigeration Worker #2,3
Meredith's Vet,3
Window treatment guy,3
Usher,3
Angela & Oscar,3
Marcy,3
Michael ,3
Spanish Teacher,3
Warehouse Guy,3
Astrid,3
IT Tech Guy,3
Andy & Erin,3
Warehouse guy 1,3
Various,3
Co-Worker 2,3
Women,3
Dakota,3
DJ,3
Guy at table,3
Co-worker,3
Documentary Crew Member,3
Gabor,3
Park Ranger,3
Woman over speakerphone,3
CPR Trainer,3
Lab Tech,3
Vance Refrigeration guy,3
Andy and Darryl,3
Leo,3
Warehouse Crew,3
Ronnie,3
Dennis,3
Concierge,3
Younger Guy,3
Mr. Romanko,3
Molly,3
Seth Mayers,3
Deposition Reporter,3
Ellen,3
Male Applicant 1,3
Senator Liptop,3
Andy & Walter,3
Officer 1,3
Curtis,3
Pam as fourth-biggest client,3
Actor,3
Warehouse worker,2
Dwight ,2
Rory,2
Jim & Dwight,2
Chef,2
Donna Muraski,2
Gym instructor,2
Gideon,2
Moderator,2
Others,2
Warren,2
Woman 4,2
Phylis,2
Pam and Jim,2
Female Applicant,2
Liquor Store Clerk,2
Girl at table,2
Pam as ninth-biggest client,2
Minister,2
Soldier,2
Man 2,2
Delivery Boy,2
Robotic Voice,2
Meridith,2
Bob's Secretary,2
Cindy,2
Overhead,2
Miss Trudy,2
Narrator,2
Chet,2
Darrly,2
Young Michael,2
Member,2
Bookstore employee,2
David Brent,2
Archivist,2
Darryl's sister,2
Older Woman,2
CameraMan,2
Hostess,2
Officer Foley,2
Clay Aiken,2
Cell Phone Sales Person,2
Guy At Bar,2
Michael and Christian,2
Bass Player,2
Woman 2,2
Billy's Girlfriend,2
Deangelo/Michael,2
Paramedic,2
Lonnie,2
Wrangler,2
Policeman,2
David Wallace's Secretary,2
Officer 2,2
Nail manager,2
Dwight and Erin,2
Dwight and Andy,2
Stanely,2
Businessman #1,2
Woman from Buffalo,2
Dwight & Andy,2
Female Intern,2
Michae,2
HCT Member #2,2
Jim & Pam,2
Gwenneth,2
Voice #1 on phone,2
Mr. Beesly,2
Nail stylist 2,2
"Jim, Pam, Michael and Dwight",2
Paul,2
Receptionitis15,2
Albiny,2
Guy in audience,2
Man on phone,2
Ballerinas,2
Michael [on phone],2
Concierge Marie,2
Female Athlead Employee,2
Air Force recruiter,2
JIM9334,2
Jim ,2
Co-workers,2
Prince Grandmother,2
Holy,2
Jessica Alba,2
Warehouse guy,2
Ty,2
Voice on CD player,2
Child,2
Office,2
Kelly and Erin,2
Business Student #3,2
Ruger Sister 1,2
Randy,2
Off-camera,2
Promo Announcer,2
Michael and Jim,2
Voicemail,2
Security,2
Student 1,2
Larry,2
Other waitress,2
Robert & Creed,1
Pam and Kelly,1
Offscreen,1
Parent in audience #2,1
Reporter #1,1
Drummer,1
Parent in audience #1,1
Wade,1
Cameraman,1
Elderly Woman,1
Teammates,1
"Bob Vance, Vance Refrigeration",1
Production Assistant,1
New Instant Message,1
Darryl and Kevin,1
Julius Irving,1
Woman 1,1
3rd Athlead Employee,1
Alonzo,1
Walter & Walter Jr,1
Fast Food Worker,1
Dance Teacher,1
Woman 3,1
Erin's Cell Phone,1
Reporter #2,1
Erin and Irene,1
Man 3,1
Investor,1
Drive Thru Customer,1
"Dwight, Erin, Jim & Kevin",1
Co-worker #2,1
Kevin & Meredith,1
Gabe/Kelly/Toby,1
Parent in Audience,1
Andy/Pam,1
Andy/Stanley,1
4th Athlead Employee,1
Man 1,1
Chelsea,1
Ruger Sister 2,1
Promo Voice,1
Mrs. California,1
Queerenstein Bears,1
Angela/Pam,1
Rafe,1
Stu,1
Meredith & Kelly,1
Einsteins,1
Nellie and Pam,1
"Andy, Darryl & Officer Foley",1
Sensei Ira,1
Saleswoman,1
HCT Member #1,1
"Phyllis, Kevin & Stanley",1
Emergency Operator,1
"[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry",1
"[repeats]
Andy: Fail",1
People in line,1
Camera Crew,1
Party guests,1
Oscar's Computer,1
Roger,1
Andy/Oscar,1
Pam & Dwight,1
Travel Agent,1
"Group: Dunder Mifflin!
Andy: Andy Bernard presents: Summer Softball Epic Fails! [Kevin swings bat on screen, fart noise follows] Fail. [repeats] Fail",1
Salesmen,1
Party Announcer,1
Party Guest,1
Party Waiter,1
Nail stylist 1,1
Patty,1
Philip,1
Lady Blogger,1
Guys in breakroom,1
Athlead Coworker,1
Blogger 2,1
White,1
Amanda,1
Casey Dean,1
Actress,1
Shareholder,1
Bruce,1
Tech Guy,1
Michael and Darryl,1
Cleaning lady,1
Tall Girl #2,1
All Girls,1
Michael/Dwight,1
Bill Cress,1
Paul Faust,1
Jan [on phone],1
Coffee shop worker,1
Neighbor,1
Officer,1
Hunter's CD,1
Council,1
Security guard,1
Michael's Ad,1
"Andy, Creed, Kevin, Kelly, Darryl",1
Oscar and Stanley,1
Micael,1
Co-Worker 1,1
song,1
Voice #2 on phone,1
Angela and Dwight,1
Maguire,1
Woman on mic,1
Stewardess,1
Prince,1
Entire office,1
Entire Prince family,1
Everyone watching,1
Rehab Nurse,1
Guy buying doll,1
Dacvid Wallace,1
David Wallcve,1
Dacvid Walalce,1
Stanley & Phyllis,1
JIM9334 [screen name],1
Kevin & Andy,1
Holly & Michael,1
Holly & Darryl,1
Mr. O'Malley,1
"Michael, Holly, and Darryl",1
Michael and Holly,1
Hank [the security guard],1
Dight,1
Receptionitis15 [screen name],1
Angels,1
sAndy,1
Phyllis and Creed,1
Voice of Thomas Dean,1
I.D. Photographer,1
Ryan's Voicemail,1
Pam/Jim,1
Store Employee,1
Office Staff,1
The Kids,1
Alyssa,1
Jim and Dwight,1
Dan,1
Dwight and Roy,1
All the Men,1
Group chant,1
Men,1
Jim's voicemail,1
Pam and others,1
Hooter's Girls,1
Darryl and Katy,1
"Phyllis, Meredith, Michael, Kevin",1
JIm,1
Girl acting Pregnant,1
Kevin & Oscar,1
Anglea,1
Female worker,1
Ted,1
Andy and Michael,1
Darry,1
Dan Gore,1
Student 3,1
Artist,1
College Student,1
Unknown,1
Children,1
MIchael,1
Staples Guy,1
Woman at bar,1
"Jim, Josh, and Dwight",1
Male voice,1
Dwight:,1
M ichael,1
Mr. Kapoor,1
Mrs. Kapoor,1
Young Man,1
Girls,1
Cousin Mose,1
Ryan and others,1
Prince Son,1
CPR trainer,1
Male Applicant 2,1
Mihael,1
Phyliss,1
Ryan and Michael,1
TV,1
Radio,1
Another guy,1
Michael and Andy,1
Jim's Dad,1
MeeMaw,1
Mee-Maw,1
Doug [church member],1
Female church member [to Michael],1
Female church member,1
Church congregation,1
Darryl and Andy,1
Other Guy at Bar,1
Carrol,1
Employees except Dwight,1
Angel,1
Dwight and Angela,1
Gym Instructor,1
Glen,1
Dwight & Nate,1
Pam ,1
Guy at bar,1
Dwight [on phone],1
Darryl & Oscar,1
Finger Lakes Guy,1
Nellie Bertram,1
Merv Bronte,1
Warren Buffett,1
Fred Henry,1
Darryl and Angela,1
All but Oscar,1
Mose [on phone],1
DeAgnelo,1
Older guy,1
abe,1
Erin and Kelly,1
Together,1
Denagelo,1
Warehouse Worker,1
Andy and Erin,1
Boom Box,1
Ryan and Kelly,1
"Phyllis, Stanley, Dwight",1
Old lady,1
Michael and Donna,1
Warehouse Michael,1
Oscar's voice from the computer,1
Registrar,1
Kevin's computer,1
Credit card rep,1
Pam's dad,1
Tom and Pete,1
Pete Halpert,1
Tom Halpert,1
"Dwight, Jim & Pam",1
Female intern,1
Warehouse guys,1
Vance Refrigeration Guy 2,1
Vance Refrigeration Guy 1,1
Automated phone voice,1
"Michael, Pam & Ryan",1
Man in Video,1
Chares,1
Michal,1
Supervisor,1
Angela and Kelly,1
Employees,1
Redheaded Actress,1
Man in line,1
Female Shareholder,1
Second Shareholder,1
(Pam's mom) Heleen,1
Dwight.,1
Bouncer,1
Miichael,1
"Meredith, Creed, Oscar and Matt",1
Night cleaning crew,1
Warehouse guy 2,1
D,1
Employee,1
Dale,1
"Dwight, Jim and Michael",1
Third Shareholder,1
Teddy Wallace,1
Chili's Employee,1
Jo Bennett,1
Christian Slater,1
Fake Stanley,1
Michael and Erin,1
Deliveryman,1
Zion,1
Fourth Shareholder,1
Carol Stills,1
